"SY","DIST_CODE","DIST_NAME","IND_CAT","IND_SUBCAT","IND_VALUE","IND_VALUE_TYPE"
"2024","02810000","Springfield","Student Enrollment","In-District FTE Pupils","23,722.9","Count"
"2024","02810000","Springfield","Student Enrollment","Out-of-District FTE Pupils","5,745","Count"
"2024","02810000","Springfield","Student Enrollment","Total FTE Pupils","29,467.9","Count"
"2024","02810000","Springfield","Student Demographics","English learner % Headcount","17.1","Percent"
"2024","02810000","Springfield","Student Demographics","Low-Income % Headcount","85","Percent"
"2024","02810000","Springfield","Student Demographics","Student Headcount","23,693","Count"
"2024","02810000","Springfield","Student Demographics","Students with disabilities % Headcount","26.8","Percent"
"2024","02810000","Springfield","Teacher Salaries","Average Teacher Salary","84,692","Amount"
"2024","02810000","Springfield","Teacher Salaries","Teacher FTE","2,171.5","Count"
"2024","02810000","Springfield","Teacher Salaries","Teachers per 100 FTE students","9.2","Count"
"2024","02810000","Springfield","Other Staff","Instructional Coach FTE","82.4","Count"
"2024","02810000","Springfield","Other Staff","Instructional Support FTE","174","Count"
"2024","02810000","Springfield","Other Staff","Paraprofessional FTE","853","Count"
"2024","02810000","Springfield","Other Staff","Special Education Instructional Support FTE","24","Count"
"2024","02810000","Springfield","MCAS Performance","ELA Grade 10 % Meets or Exceeds","30.7","Percent"
"2024","02810000","Springfield","MCAS Performance","ELA Grades 3-8 % Meets or Exceeds","19.1","Percent"
"2024","02810000","Springfield","MCAS Performance","Math Grade 10 % Meets or Exceeds","17.2","Percent"
"2024","02810000","Springfield","MCAS Performance","Math Grades 3-8 % Meets or Exceeds","16.3","Percent"
"2024","02810000","Springfield","Expenditures Per Pupil","Administration","609","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Guidance, Counseling and Testing","697","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Instructional Leadership","1,571","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Instructional Materials, Equipment and Technology","2,645","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Insurance, Retirement Programs and Other","3,905","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Operations and Maintenance","3,806","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Other Teaching Services","2,014","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Professional Development","426","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Pupil Services","3,202","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Teachers","7,737","Amount"
"2024","02810000","Springfield","Expenditures Per Pupil","Total Expenditures","25,418","Amount"
