"SY","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","TOTAL_CNT","PK_CNT","K_CNT","G1_CNT","G2_CNT","G3_CNT","G4_CNT","G5_CNT","G6_CNT","G7_CNT","G8_CNT","G9_CNT","G10_CNT","G11_CNT","G12_CNT","SP_CNT","AIAN_PCT","AS_PCT","BAA_PCT","HL_PCT","MNHL_PCT","NHPI_PCT","WH_PCT","FE_PCT","MA_PCT","NB_PCT","EL_CNT","EL_PCT","FLNE_CNT","FLNE_PCT","HN_CNT","HN_PCT","LI_CNT","LI_PCT","ECD_CNT","ECD_PCT","SWD_CNT","SWD_PCT"
"2026","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","436","83","42","38","46","38","40","34","43","39","33","0","0","0","0","0","0%","0%","17.9%","58.7%","7.8%","0%","15.6%","55.7%","44.3%","0%","19","4.4%","45","10.3%","214","49.1%","192","44%",,,"45","10.3%"
"2026","02810000","Springfield","02810175","Alice B Beal Elementary","School","304","33","57","50","38","40","43","43","0","0","0","0","0","0","0","0","0%","6.9%","17.1%","58.6%","5.3%","0%","12.2%","44.7%","55.3%","0%","81","26.6%","97","31.9%","253","83.2%","233","76.6%",,,"64","21.1%"
"2026","02810000","Springfield","02810165","Arthur T Talmadge","School","188","18","25","26","35","34","27","23","0","0","0","0","0","0","0","0","0%","5.9%","13.8%","66%","6.4%","0%","8%","47.9%","52.1%","0%","24","12.8%","30","16%","166","88.3%","160","85.1%",,,"55","29.3%"
"2026","02810000","Springfield","02810003","Balliet Preschool","School","113","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%","1.8%","17.7%","61.9%","8%","0%","10.6%","39.8%","60.2%","0%","9","8%","15","13.3%","91","80.5%","81","71.7%",,,"39","34.5%"
"2026","02810000","Springfield","02810085","Benjamin Swan Elementary","School","506","55","108","77","59","62","74","71","0","0","0","0","0","0","0","0","0.2%","0.6%","20%","70.4%","6.5%","0%","2.4%","46%","54%","0%","119","23.5%","140","27.7%","475","93.9%","454","89.7%",,,"136","26.9%"
"2026","02810000","Springfield","02810025","Brightwood","School","457","52","69","58","79","57","73","69","0","0","0","0","0","0","0","0","0%","0%","6.8%","89.9%","0.9%","0%","2.4%","53.2%","46.8%","0%","115","25.2%","139","30.4%","443","96.9%","424","92.8%",,,"121","26.5%"
"2026","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","291","0","0","0","0","0","0","0","108","96","87","0","0","0","0","0","0%","2.7%","19.9%","63.9%","4.5%","0%","8.9%","38.8%","61.2%","0%","5","1.7%","77","26.5%","231","79.4%","208","71.5%",,,"86","29.6%"
"2026","02810000","Springfield","02810475","Conservatory of the Arts","School","292","0","0","0","0","0","0","0","51","43","47","40","41","29","41","0","0%","0%","17.5%","70.5%","1.7%","0%","10.3%","69.9%","30.1%","0%","22","7.5%","72","24.7%","248","84.9%","235","80.5%",,,"82","28.1%"
"2026","02810000","Springfield","02810035","Daniel B Brunton","School","310","43","55","56","48","43","31","34","0","0","0","0","0","0","0","0","0%","1.3%","19.4%","54.2%","4.8%","0.3%","20%","49.4%","50.6%","0%","46","14.8%","54","17.4%","266","85.8%","244","78.7%",,,"92","29.7%"
"2026","02810000","Springfield","02810001","Early Childhood Education Center","School","170","170","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%","1.2%","18.8%","68.2%","7.1%","0%","4.1%","46.5%","53.5%","0%","28","16.5%","55","32.4%","156","91.8%","148","87.1%",,,"59","34.7%"
