"SY","ATTEND_PERIOD","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","STU_GRP","ATTEND_RATE","CNT_AVG_ABS","PCT_ABS_10_DAYS","PCT_CHRON_ABS_10","PCT_CHRON_ABS_20","PCT_UNEXC_10_DAYS","DISTRICT_AND_SCHOOL"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","All Students","94.9%","5.4","17%","13.3%","1.1%","4.6%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","Black or African American","95.5%","4.8","16.9%","11.7%","0%","3.9%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","Hispanic or Latino","94.4%","5.9","20.2%","16.7%","1.6%","5.8%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","Multi-Race, Not Hispanic or Latino","95.5%","4.9","11.8%","11.8%","0%","2.9%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","White","96%","4.3","7.6%","3%","1.5%","1.5%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","High Needs","94.6%","5.8","21.7%","18.4%","1.4%","7.4%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","English Learners","93.3%","7.2","42.1%","36.8%","0%","10.5%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","Low Income","94.5%","5.8","21.5%","17.9%","1.5%","7.7%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","Students with Disabilities","94%","6.3","23.9%","21.7%","4.3%","6.5%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","Female","95.5%","4.8","13.6%","9.5%","0.8%","4.1%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810095","Alfred G. Zanetti Montessori Magnet School","School","Male","94.3%","6.1","21.4%","18.2%","1.6%","5.2%","Springfield - Alfred G. Zanetti Montessori Magnet School"
"2026","March","02810000","Springfield","02810175","Alice B Beal Elementary","School","All Students","93.2%","7.1","28.7%","25.7%","3.3%","12%","Springfield - Alice B Beal Elementary"
"2026","March","02810000","Springfield","02810175","Alice B Beal Elementary","School","Asian","94.9%","5.5","14.3%","14.3%","0%","0%","Springfield - Alice B Beal Elementary"
"2026","March","02810000","Springfield","02810175","Alice B Beal Elementary","School","Black or African American","94.4%","5.7","15.7%","13.7%","3.9%","5.9%","Springfield - Alice B Beal Elementary"
